Year,CountryCode,ISOCode,TotalEntries,GoldMedals,SilverMedals,BronzeMedals,TotalMedals
2016,GAM,GMB,4,0,0,0,0
1976,GBR,GBR,264,3,5,5,13
1980,GBR,GBR,243,5,7,9,21
1984,GBR,GBR,375,5,11,21,37
1988,GBR,GBR,334,5,10,9,24
1992,GBR,GBR,364,5,3,12,20
1996,GBR,GBR,267,1,8,6,15
2000,GBR,GBR,284,11,11,7,29
2004,GBR,GBR,250,9,9,13,31
2008,GBR,GBR,288,19,13,16,48
2012,GBR,GBR,383,29,17,19,65
2016,GBR,GBR,314,27,23,17,67
1996,GBS,GNB,3,0,0,0,0
2000,GBS,GNB,3,0,0,0,0
2004,GBS,GNB,3,0,0,0,0
2008,GBS,GNB,3,0,0,0,0
2012,GBS,GNB,4,0,0,0,0
2016,GBS,GNB,5,0,0,0,0
1976,GDR,DDR,279,40,25,25,90
1980,GDR,DDR,331,47,37,42,126
1988,GDR,DDR,283,37,35,30,102
1996,GEO,GEO,41,0,0,2,2
2000,GEO,GEO,45,0,0,6,6
2004,GEO,GEO,39,2,2,0,4
2008,GEO,GEO,36,3,0,3,6
2012,GEO,GEO,35,1,3,3,7
2016,GEO,GEO,43,2,1,4,7
1984,GEQ,GNQ,5,0,0,0,0
1988,GEQ,GNQ,7,0,0,0,0
1992,GEQ,GNQ,8,0,0,0,0
1996,GEQ,GNQ,5,0,0,0,0
2000,GEQ,GNQ,4,0,0,0,0
2004,GEQ,GNQ,2,0,0,0,0
2008,GEQ,GNQ,3,0,0,0,0
2012,GEQ,GNQ,2,0,0,0,0
2016,GEQ,GNQ,1,0,0,0,0
1992,GER,DEU,423,33,21,28,82
1996,GER,DEU,394,20,18,27,65
2000,GER,DEU,373,13,17,26,56
2004,GER,DEU,376,13,16,20,49
2008,GER,DEU,334,18,10,16,44
2012,GER,DEU,338,11,19,14,44
2016,GER,DEU,347,17,10,16,43
1984,GHA,GHA,18,0,0,0,0
1988,GHA,GHA,14,0,0,0,0
1992,GHA,GHA,18,0,0,1,1
1996,GHA,GHA,17,0,0,0,0
2000,GHA,GHA,18,0,0,0,0
2004,GHA,GHA,11,0,0,0,0
2008,GHA,GHA,9,0,0,0,0
2012,GHA,GHA,7,0,0,0,0
2016,GHA,GHA,12,0,0,0,0
1976,GRE,GRC,37,0,0,0,0
1980,GRE,GRC,32,1,0,2,3
1984,GRE,GRC,58,0,1,1,2
1988,GRE,GRC,44,0,0,1,1
1992,GRE,GRC,58,2,0,0,2
1996,GRE,GRC,137,4,4,0,8
2000,GRE,GRC,136,4,6,3,13
2004,GRE,GRC,267,6,6,4,16
2008,GRE,GRC,116,0,2,2,4
2012,GRE,GRC,85,0,0,2,2
2016,GRE,GRC,72,3,1,2,6
1984,GRN,GRD,6,0,0,0,0
1988,GRN,GRD,7,0,0,0,0
1992,GRN,GRD,5,0,0,0,0
1996,GRN,GRD,2,0,0,0,0
2000,GRN,GRD,3,0,0,0,0
2004,GRN,GRD,5,0,0,0,0
2008,GRN,GRD,9,0,0,0,0
2012,GRN,GRD,8,1,0,0,1
2016,GRN,GRD,6,0,1,0,1
1976,GUA,GTM,11,0,0,0,0
1980,GUA,GTM,9,0,0,0,0
1984,GUA,GTM,47,0,0,0,0
1988,GUA,GTM,18,0,0,0,0
1992,GUA,GTM,32,0,0,0,0
1996,GUA,GTM,28,0,0,0,0
2000,GUA,GTM,15,0,0,0,0
2004,GUA,GTM,19,0,0,0,0
2008,GUA,GTM,13,0,0,0,0
2012,GUA,GTM,24,0,1,0,1
2016,GUA,GTM,25,0,0,0,0
1980,GUI,GIN,10,0,0,0,0
1984,GUI,GIN,1,0,0,0,0
1988,GUI,GIN,7,0,0,0,0
1992,GUI,GIN,11,0,0,0,0
1996,GUI,GIN,5,0,0,0,0
2000,GUI,GIN,6,0,0,0,0
2004,GUI,GIN,4,0,0,0,0
2008,GUI,GIN,5,0,0,0,0
2012,GUI,GIN,4,0,0,0,0
2016,GUI,GIN,5,0,0,0,0
1988,GUM,GUM,26,0,0,0,0
1992,GUM,GUM,33,0,0,0,0
1996,GUM,GUM,9,0,0,0,0
2000,GUM,GUM,7,0,0,0,0
2004,GUM,GUM,4,0,0,0,0
2008,GUM,GUM,7,0,0,0,0
2012,GUM,GUM,8,0,0,0,0
2016,GUM,GUM,5,0,0,0,0
1980,GUY,GUY,10,0,0,1,1
1984,GUY,GUY,12,0,0,0,0
1988,GUY,GUY,8,0,0,0,0
1992,GUY,GUY,7,0,0,0,0
1996,GUY,GUY,6,0,0,0,0
2000,GUY,GUY,4,0,0,0,0
2004,GUY,GUY,4,0,0,0,0
2008,GUY,GUY,4,0,0,0,0
2012,GUY,GUY,6,0,0,0,0
2016,GUY,GUY,7,0,0,0,0
1976,HAI,HTI,14,0,0,0,0
1984,HAI,HTI,3,0,0,0,0
1988,HAI,HTI,5,0,0,0,0
1992,HAI,HTI,8,0,0,0,0
1996,HAI,HTI,7,0,0,0,0
2000,HAI,HTI,5,0,0,0,0
2004,HAI,HTI,8,0,0,0,0
2008,HAI,HTI,7,0,0,0,0
2012,HAI,HTI,5,0,0,0,0
2016,HAI,HTI,10,0,0,0,0
1976,HKG,HKG,36,0,0,0,0
1984,HKG,HKG,67,0,0,0,0
1988,HKG,HKG,69,0,0,0,0
1992,HKG,HKG,51,0,0,0,0
1996,HKG,HKG,26,1,0,0,1
2000,HKG,HKG,38,0,0,0,0
2004,HKG,HKG,36,0,1,0,1
2008,HKG,HKG,40,0,0,0,0
2012,HKG,HKG,46,0,0,1,1
2016,HKG,HKG,36,0,0,0,0
1976,HON,HND,3,0,0,0,0
1984,HON,HND,20,0,0,0,0
1988,HON,HND,18,0,0,0,0
1992,HON,HND,27,0,0,0,0
1996,HON,HND,7,0,0,0,0
2000,HON,HND,4,0,0,0,0
2004,HON,HND,5,0,0,0,0
2008,HON,HND,8,0,0,0,0
2012,HON,HND,10,0,0,0,0
2016,HON,HND,8,0,0,0,0
1976,HUN,HUN,202,4,5,13,22
1980,HUN,HUN,259,7,10,15,32
1988,HUN,HUN,235,11,6,6,23
1992,HUN,HUN,268,11,12,7,30
1996,HUN,HUN,226,7,4,10,21
2000,HUN,HUN,170,8,6,3,17
2004,HUN,HUN,172,8,6,3,17
2008,HUN,HUN,151,3,5,2,10
2012,HUN,HUN,132,8,4,6,18
2016,HUN,HUN,152,8,3,4,15
1976,INA,IDN,11,0,0,0,0
1984,INA,IDN,20,0,0,0,0
1988,INA,IDN,37,0,1,0,1
1992,INA,IDN,40,2,2,1,5
1996,INA,IDN,33,1,1,2,4
2000,INA,IDN,42,1,3,2,6
2004,INA,IDN,32,1,1,2,4
2008,INA,IDN,21,1,1,3,5
2012,INA,IDN,19,0,1,1,2
2016,INA,IDN,25,1,2,0,3
1976,IND,IND,11,0,0,0,0
1980,IND,IND,36,1,0,0,1
1984,IND,IND,34,0,0,0,0
1988,IND,IND,32,0,0,0,0
1992,IND,IND,41,0,0,0,0
1996,IND,IND,33,0,0,1,1
2000,IND,IND,40,0,0,1,1
2004,IND,IND,57,0,1,0,1
2008,IND,IND,59,1,0,2,3
2012,IND,IND,69,0,2,4,6
2016,IND,IND,87,0,1,1,2
1992,IOA,NA,68,0,1,2,3
2000,IOA,NA,4,0,0,0,0
2012,IOA,NA,4,0,0,0,0
2016,IOA,NA,9,1,0,1,2
1976,IRI,IRN,65,0,1,1,2
1988,IRI,IRN,23,0,1,0,1
1992,IRI,IRN,38,0,1,2,3
1996,IRI,IRN,18,1,1,1,3
2000,IRI,IRN,34,3,0,1,4
2004,IRI,IRN,37,2,2,2,6
2008,IRI,IRN,44,1,0,1,2
2012,IRI,IRN,57,4,5,3,12
2016,IRI,IRN,56,3,1,4,8
1976,IRL,IRL,41,0,0,0,0
1980,IRL,IRL,47,0,1,1,2
1984,IRL,IRL,49,0,1,0,1
1988,IRL,IRL,65,0,0,0,0
1992,IRL,IRL,63,1,1,0,2
1996,IRL,IRL,82,3,0,1,4
2000,IRL,IRL,60,0,1,0,1
2004,IRL,IRL,42,0,0,0,0
2008,IRL,IRL,50,0,1,2,3
2012,IRL,IRL,67,1,1,3,5
2016,IRL,IRL,73,0,2,0,2
1980,IRQ,IRQ,26,0,0,0,0
1984,IRQ,IRQ,11,0,0,0,0
1988,IRQ,IRQ,13,0,0,0,0
1992,IRQ,IRQ,8,0,0,0,0
1996,IRQ,IRQ,3,0,0,0,0
2000,IRQ,IRQ,4,0,0,0,0
2004,IRQ,IRQ,8,0,0,0,0
2008,IRQ,IRQ,3,0,0,0,0
2012,IRQ,IRQ,8,0,0,0,0
2016,IRQ,IRQ,5,0,0,0,0
1976,ISL,ISL,22,0,0,0,0
1980,ISL,ISL,12,0,0,0,0
1984,ISL,ISL,20,0,0,1,1
1988,ISL,ISL,27,0,0,0,0
1992,ISL,ISL,17,0,0,0,0
1996,ISL,ISL,15,0,0,0,0
2000,ISL,ISL,29,0,0,1,1
2004,ISL,ISL,20,0,0,0,0
2008,ISL,ISL,18,0,1,0,1
2012,ISL,ISL,20,0,0,0,0
2016,ISL,ISL,14,0,0,0,0
1976,ISR,ISR,19,0,0,0,0
1984,ISR,ISR,63,0,0,0,0
1988,ISR,ISR,26,0,0,0,0
1992,ISR,ISR,42,0,1,1,2
1996,ISR,ISR,31,0,0,1,1
2000,ISR,ISR,44,0,0,1,1
2004,ISR,ISR,42,1,0,1,2
2008,ISR,ISR,51,0,0,1,1
2012,ISR,ISR,47,0,0,0,0
2016,ISR,ISR,49,0,0,2,2
1976,ISV,VIR,23,0,0,0,0
1984,ISV,VIR,42,0,0,0,0
1988,ISV,VIR,35,0,1,0,1
1992,ISV,VIR,29,0,0,0,0
1996,ISV,VIR,11,0,0,0,0
2000,ISV,VIR,12,0,0,0,0
2004,ISV,VIR,9,0,0,0,0
2008,ISV,VIR,8,0,0,0,0
2012,ISV,VIR,9,0,0,0,0
2016,ISV,VIR,7,0,0,0,0
1976,ITA,ITA,210,2,7,4,13
1980,ITA,ITA,121,8,3,4,15
1984,ITA,ITA,235,14,6,12,32
1988,ITA,ITA,245,6,4,4,14
1992,ITA,ITA,274,6,5,8,19
1996,ITA,ITA,292,13,10,12,35
2000,ITA,ITA,263,13,8,13,34
2004,ITA,ITA,273,10,11,11,32
2008,ITA,ITA,300,8,9,10,27
2012,ITA,ITA,257,8,9,11,28
2016,ITA,ITA,257,8,12,8,28
1984,IVB,VGB,7,0,0,0,0
1988,IVB,VGB,4,0,0,0,0
1992,IVB,VGB,2,0,0,0,0
1996,IVB,VGB,5,0,0,0,0
2000,IVB,VGB,1,0,0,0,0
2004,IVB,VGB,1,0,0,0,0
2008,IVB,VGB,2,0,0,0,0
2012,IVB,VGB,2,0,0,0,0
2016,IVB,VGB,4,0,0,0,0
1976,JAM,JAM,27,1,1,0,2
1980,JAM,JAM,20,0,0,3,3
1984,JAM,JAM,53,0,1,2,3
1988,JAM,JAM,32,0,2,0,2
1992,JAM,JAM,37,0,3,1,4
1996,JAM,JAM,49,1,3,2,6
2000,JAM,JAM,46,0,6,3,9
2004,JAM,JAM,48,2,1,2,5
2008,JAM,JAM,49,5,3,2,10
2012,JAM,JAM,46,4,4,4,12
2016,JAM,JAM,58,6,3,2,11
1980,JOR,JOR,6,0,0,0,0
1984,JOR,JOR,15,0,0,0,0
1988,JOR,JOR,9,0,0,0,0
1992,JOR,JOR,5,0,0,0,0
1996,JOR,JOR,5,0,0,0,0
2000,JOR,JOR,8,0,0,0,0
2004,JOR,JOR,8,0,0,0,0
2008,JOR,JOR,7,0,0,0,0
2012,JOR,JOR,9,0,0,0,0
2016,JOR,JOR,8,1,0,0,1
1976,JPN,JPN,218,9,6,10,25
1984,JPN,JPN,261,10,8,14,32
1988,JPN,JPN,305,4,3,7,14
1992,JPN,JPN,290,3,8,11,22
1996,JPN,JPN,289,3,6,5,14
2000,JPN,JPN,255,5,8,5,18
2004,JPN,JPN,257,16,9,12,37
2008,JPN,JPN,277,9,7,9,25
2012,JPN,JPN,263,7,14,17,38
2016,JPN,JPN,284,12,8,21,41
1996,KAZ,KAZ,125,3,4,4,11
2000,KAZ,KAZ,126,3,4,0,7
2004,KAZ,KAZ,106,1,4,3,8
2008,KAZ,KAZ,118,2,4,7,13
2012,KAZ,KAZ,117,7,1,5,13
2016,KAZ,KAZ,109,3,5,10,18
1984,KEN,KEN,48,1,0,2,3
1988,KEN,KEN,67,5,2,2,9
1992,KEN,KEN,51,2,4,2,8
1996,KEN,KEN,50,1,4,3,8
2000,KEN,KEN,45,2,3,2,7
2004,KEN,KEN,35,1,4,2,7
2008,KEN,KEN,47,6,4,5,15
2012,KEN,KEN,48,2,4,5,11
2016,KEN,KEN,58,6,6,1,13
1996,KGZ,KGZ,39,0,0,0,0
2000,KGZ,KGZ,59,0,0,1,1
2004,KGZ,KGZ,32,0,0,0,0
2008,KGZ,KGZ,22,0,1,1,2
2012,KGZ,KGZ,15,0,0,0,0
2016,KGZ,KGZ,19,0,0,0,0
2004,KIR,KIR,3,0,0,0,0
2008,KIR,KIR,2,0,0,0,0
2012,KIR,KIR,3,0,0,0,0
2016,KIR,KIR,3,0,0,0,0
1976,KOR,KOR,29,1,1,4,6
1984,KOR,KOR,165,6,6,7,19
1988,KOR,KOR,319,12,10,11,33
1992,KOR,KOR,211,12,5,12,29
1996,KOR,KOR,242,7,15,5,27
2000,KOR,KOR,201,8,10,10,28
2004,KOR,KOR,217,9,12,9,30
2008,KOR,KOR,200,13,10,8,31
2012,KOR,KOR,193,13,8,7,28
2016,KOR,KOR,178,9,3,9,21
2016,KOS,[12],8,1,0,0,1
1976,KSA,SAU,13,0,0,0,0
1984,KSA,SAU,22,0,0,0,0
1988,KSA,SAU,13,0,0,0,0
1992,KSA,SAU,15,0,0,0,0
1996,KSA,SAU,15,0,0,0,0
2000,KSA,SAU,17,0,1,1,2
2004,KSA,SAU,16,0,0,0,0
2008,KSA,SAU,15,0,0,0,0
2012,KSA,SAU,20,0,0,1,1
2016,KSA,SAU,11,0,0,0,0
1976,KUW,KWT,15,0,0,0,0
1980,KUW,KWT,32,0,0,0,0
1984,KUW,KWT,24,0,0,0,0
1988,KUW,KWT,28,0,0,0,0
1992,KUW,KWT,19,0,0,0,0
1996,KUW,KWT,16,0,0,0,0
2000,KUW,KWT,12,0,0,1,1
2004,KUW,KWT,11,0,0,0,0
2008,KUW,KWT,8,0,0,0,0
2012,KUW,KWT,12,0,0,1,1
1980,LAO,LAO,19,0,0,0,0
1988,LAO,LAO,3,0,0,0,0
1992,LAO,LAO,7,0,0,0,0
1996,LAO,LAO,2,0,0,0,0
2000,LAO,LAO,3,0,0,0,0
2004,LAO,LAO,5,0,0,0,0
2008,LAO,LAO,4,0,0,0,0
2012,LAO,LAO,3,0,0,0,0
2016,LAO,LAO,5,0,0,0,0
1992,LAT,LVA,36,0,2,1,3
1996,LAT,LVA,53,0,1,0,1
2000,LAT,LVA,58,1,1,1,3
2004,LAT,LVA,45,0,4,0,4
2008,LAT,LVA,39,1,1,1,3
2012,LAT,LVA,47,1,0,1,2
2016,LAT,LVA,32,0,0,0,0
1980,LBA,LBY,24,0,0,0,0
1988,LBA,LBY,7,0,0,0,0
1992,LBA,LBY,5,0,0,0,0
1996,LBA,LBY,5,0,0,0,0
2000,LBA,LBY,3,0,0,0,0
2004,LBA,LBY,8,0,0,0,0
2008,LBA,LBY,6,0,0,0,0
2012,LBA,LBY,4,0,0,0,0
2016,LBA,LBY,7,0,0,0,0
1984,LBR,LBR,7,0,0,0,0
1988,LBR,LBR,11,0,0,0,0
1996,LBR,LBR,4,0,0,0,0
2000,LBR,LBR,7,0,0,0,0
2004,LBR,LBR,2,0,0,0,0
2008,LBR,LBR,4,0,0,0,0
2012,LBR,LBR,3,0,0,0,0
2016,LBR,LBR,3,0,0,0,0
1996,LCA,LCA,5,0,0,0,0
2000,LCA,LCA,5,0,0,0,0
2004,LCA,LCA,2,0,0,0,0
2008,LCA,LCA,4,0,0,0,0
2012,LCA,LCA,4,0,0,0,0
2016,LCA,LCA,5,0,0,0,0
1980,LES,LSO,7,0,0,0,0
1984,LES,LSO,5,0,0,0,0
1988,LES,LSO,6,0,0,0,0
1992,LES,LSO,8,0,0,0,0
1996,LES,LSO,5,0,0,0,0
2000,LES,LSO,6,0,0,0,0
2004,LES,LSO,3,0,0,0,0
2008,LES,LSO,5,0,0,0,0
2012,LES,LSO,4,0,0,0,0
2016,LES,LSO,9,0,0,0,0
1976,LIB,NA,4,0,0,0,0
1980,LIB,NA,19,0,0,1,1
1984,LIB,NA,27,0,0,0,0
1988,LIB,NA,31,0,0,0,0
1992,LIB,NA,18,0,0,0,0
1996,LIB,NA,1,0,0,0,0
2000,LIB,NA,6,0,0,0,0
2004,LIB,NA,5,0,0,0,0
2008,LIB,NA,6,0,0,0,0
2012,LIB,NA,10,0,0,0,0
2016,LIB,NA,9,0,0,0,0
1976,LIE,LIE,9,0,0,0,0
1984,LIE,LIE,8,0,0,0,0
1988,LIE,LIE,16,0,0,0,0
1992,LIE,LIE,8,0,0,0,0
1996,LIE,LIE,2,0,0,0,0
2000,LIE,LIE,2,0,0,0,0
2004,LIE,LIE,1,0,0,0,0
2008,LIE,LIE,2,0,0,0,0
2012,LIE,LIE,4,0,0,0,0
2016,LIE,LIE,3,0,0,0,0
1992,LTU,LTU,36,1,0,1,2
1996,LTU,LTU,62,0,0,1,1
2000,LTU,LTU,60,2,0,3,5
2004,LTU,LTU,50,1,2,0,3
2008,LTU,LTU,65,0,2,3,5
2012,LTU,LTU,60,2,1,2,5
2016,LTU,LTU,59,0,1,3,4
1976,LUX,LUX,9,0,0,0,0
1980,LUX,LUX,4,0,0,0,0
1984,LUX,LUX,5,0,0,0,0
1988,LUX,LUX,11,0,0,0,0
1992,LUX,LUX,8,0,0,0,0
1996,LUX,LUX,7,0,0,0,0
2000,LUX,LUX,8,0,0,0,0
2004,LUX,LUX,13,0,0,0,0
2008,LUX,LUX,19,0,0,0,0
2012,LUX,LUX,11,0,0,0,0
2016,LUX,LUX,15,0,0,0,0
1980,MAD,MDG,18,0,0,0,0
1984,MAD,MDG,5,0,0,0,0
1992,MAD,MDG,16,0,0,0,0
1996,MAD,MDG,10,0,0,0,0
2000,MAD,MDG,10,0,0,0,0
2004,MAD,MDG,8,0,0,0,0
2008,MAD,MDG,6,0,0,0,0
2012,MAD,MDG,7,0,0,0,0
2016,MAD,MDG,6,0,0,0,0
1976,MAR,MAR,9,0,0,0,0
1984,MAR,MAR,21,2,0,0,2
1988,MAR,MAR,29,1,0,2,3
1992,MAR,MAR,27,1,1,1,3
1996,MAR,MAR,38,0,0,2,2
2000,MAR,MAR,39,0,1,4,5
2004,MAR,MAR,42,2,1,0,3
2008,MAR,MAR,49,0,1,1,2
2012,MAR,MAR,52,0,0,1,1
2016,MAR,MAR,52,0,0,1,1
1976,MAS,MYS,10,0,0,0,0
1984,MAS,MYS,12,0,0,0,0
1988,MAS,MYS,16,0,0,0,0
1992,MAS,MYS,13,0,0,1,1
1996,MAS,MYS,23,0,1,1,2
2000,MAS,MYS,35,0,0,0,0
2004,MAS,MYS,35,0,0,0,0
2008,MAS,MYS,35,0,1,0,1
2012,MAS,MYS,31,0,1,1,2
2016,MAS,MYS,35,0,4,1,5
1984,MAW,MWI,20,0,0,0,0
1988,MAW,MWI,19,0,0,0,0
1992,MAW,MWI,4,0,0,0,0
1996,MAW,MWI,2,0,0,0,0
2000,MAW,MWI,2,0,0,0,0
2004,MAW,MWI,4,0,0,0,0
2008,MAW,MWI,4,0,0,0,0
2012,MAW,MWI,3,0,0,0,0
2016,MAW,MWI,5,0,0,0,0
1996,MDA,MDA,48,0,1,1,2
2000,MDA,MDA,35,0,1,1,2
2004,MDA,MDA,33,0,0,0,0
2008,MDA,MDA,30,0,0,1,1
2012,MDA,MDA,20,0,0,2,2
2016,MDA,MDA,23,0,0,0,0
1988,MDV,MDV,6,0,0,0,0
1992,MDV,MDV,10,0,0,0,0
1996,MDV,MDV,6,0,0,0,0
2000,MDV,MDV,4,0,0,0,0
2004,MDV,MDV,4,0,0,0,0
2008,MDV,MDV,4,0,0,0,0
2012,MDV,MDV,5,0,0,0,0
2016,MDV,MDV,4,0,0,0,0
1976,MEX,MEX,81,1,0,1,2
1980,MEX,MEX,62,0,1,3,4
1984,MEX,MEX,124,2,3,1,6
1988,MEX,MEX,117,0,0,2,2
1992,MEX,MEX,98,0,1,0,1
1996,MEX,MEX,79,0,0,1,1
2000,MEX,MEX,84,1,2,3,6
2004,MEX,MEX,91,0,3,1,4
2008,MEX,MEX,91,2,0,1,3
2012,MEX,MEX,93,1,3,3,7
2016,MEX,MEX,101,0,3,2,5
1976,MGL,MNG,33,0,1,0,1
1980,MGL,MNG,54,0,2,2,4
1988,MGL,MNG,30,0,0,1,1
1992,MGL,MNG,35,0,0,2,2
1996,MGL,MNG,18,0,0,1,1
2000,MGL,MNG,23,0,0,0,0
2004,MGL,MNG,21,0,0,1,1
2008,MGL,MNG,31,2,2,0,4
2012,MGL,MNG,32,0,2,3,5
2016,MGL,MNG,46,0,1,1,2
2008,MHL,MHL,5,0,0,0,0
2012,MHL,MHL,4,0,0,0,0
2016,MHL,MHL,5,0,0,0,0
1996,MKD,MKD,16,0,0,0,0
2000,MKD,MKD,15,0,0,1,1
2004,MKD,MKD,14,0,0,0,0
2008,MKD,MKD,7,0,0,0,0
2012,MKD,MKD,4,0,0,0,0
2016,MKD,MKD,6,0,0,0,0
1980,MLI,MLI,7,0,0,0,0
1984,MLI,MLI,5,0,0,0,0
1988,MLI,MLI,8,0,0,0,0
1992,MLI,MLI,6,0,0,0,0
1996,MLI,MLI,4,0,0,0,0
2000,MLI,MLI,5,0,0,0,0
2004,MLI,MLI,6,0,0,0,0
2008,MLI,MLI,6,0,0,0,0
2012,MLI,MLI,6,0,0,0,0
2016,MLI,MLI,6,0,0,0,0
1980,MLT,MLT,9,0,0,0,0
1984,MLT,MLT,7,0,0,0,0
1988,MLT,MLT,6,0,0,0,0
1992,MLT,MLT,8,0,0,0,0
1996,MLT,MLT,10,0,0,0,0
2000,MLT,MLT,7,0,0,0,0
2004,MLT,MLT,7,0,0,0,0
2008,MLT,MLT,6,0,0,0,0
2012,MLT,MLT,5,0,0,0,0
2016,MLT,MLT,8,0,0,0,0
2008,MNE,MNE,8,0,0,0,0
2012,MNE,MNE,9,0,1,0,1
2016,MNE,MNE,9,0,0,0,0
1976,MON,MCO,8,0,0,0,0
1984,MON,MCO,8,0,0,0,0
1988,MON,MCO,9,0,0,0,0
1992,MON,MCO,4,0,0,0,0
1996,MON,MCO,4,0,0,0,0
2000,MON,MCO,4,0,0,0,0
2004,MON,MCO,3,0,0,0,0
2008,MON,MCO,5,0,0,0,0
2012,MON,MCO,6,0,0,0,0
2016,MON,MCO,8,0,0,0,0
1980,MOZ,MOZ,16,0,0,0,0
1984,MOZ,MOZ,11,0,0,0,0
1988,MOZ,MOZ,12,0,0,0,0
1992,MOZ,MOZ,7,0,0,0,0
1996,MOZ,MOZ,3,0,0,1,1
2000,MOZ,MOZ,4,1,0,0,1
2004,MOZ,MOZ,4,0,0,0,0
2008,MOZ,MOZ,4,0,0,0,0
2012,MOZ,MOZ,6,0,0,0,0
2016,MOZ,MOZ,7,0,0,0,0
1984,MRI,MUS,7,0,0,0,0
1988,MRI,MUS,10,0,0,0,0
1992,MRI,MUS,18,0,0,0,0
1996,MRI,MUS,26,0,0,0,0
2000,MRI,MUS,20,0,0,0,0
2004,MRI,MUS,9,0,0,0,0
2008,MRI,MUS,11,0,0,1,1
2012,MRI,MUS,10,0,0,0,0
2016,MRI,MUS,11,0,0,0,0
1984,MTN,MRT,2,0,0,0,0
1988,MTN,MRT,7,0,0,0,0
1992,MTN,MRT,6,0,0,0,0
1996,MTN,MRT,4,0,0,0,0
2000,MTN,MRT,2,0,0,0,0
2004,MTN,MRT,2,0,0,0,0
2008,MTN,MRT,2,0,0,0,0
2012,MTN,MRT,2,0,0,0,0
2016,MTN,MRT,2,0,0,0,0
1980,MYA,MMR,2,0,0,0,0
1984,MYA,MMR,1,0,0,0,0
1988,MYA,MMR,3,0,0,0,0
1992,MYA,MMR,5,0,0,0,0
1996,MYA,MMR,3,0,0,0,0
2000,MYA,MMR,7,0,0,0,0
2004,MYA,MMR,2,0,0,0,0
2008,MYA,MMR,7,0,0,0,0
2012,MYA,MMR,6,0,0,0,0
2016,MYA,MMR,8,0,0,0,0
1992,NAM,NAM,10,0,2,0,2
1996,NAM,NAM,10,0,2,0,2
2000,NAM,NAM,16,0,0,0,0
2004,NAM,NAM,10,0,0,0,0
2008,NAM,NAM,11,0,0,0,0
2012,NAM,NAM,9,0,0,0,0
2016,NAM,NAM,11,0,0,0,0
1976,NCA,NIC,22,0,0,0,0
1980,NCA,NIC,6,0,0,0,0
1984,NCA,NIC,5,0,0,0,0
1992,NCA,NIC,9,0,0,0,0
1996,NCA,NIC,9,0,0,0,0
2000,NCA,NIC,6,0,0,0,0
2004,NCA,NIC,6,0,0,0,0
2008,NCA,NIC,7,0,0,0,0
2012,NCA,NIC,6,0,0,0,0
2016,NCA,NIC,5,0,0,0,0
1976,NED,NLD,100,0,2,3,5
1980,NED,NLD,68,0,1,2,3
1984,NED,NLD,98,5,2,6,13
1988,NED,NLD,112,2,2,5,9
1992,NED,NLD,140,2,6,7,15
1996,NED,NLD,124,4,5,10,19
2000,NED,NLD,130,12,9,4,25
2004,NED,NLD,134,4,9,9,22
2008,NED,NLD,129,7,7,4,18
2012,NED,NLD,125,6,6,8,20
2016,NED,NLD,189,8,7,4,19
1976,NEP,NPL,1,0,0,0,0
1980,NEP,NPL,10,0,0,0,0
1984,NEP,NPL,10,0,0,0,0
1988,NEP,NPL,20,0,0,0,0
1992,NEP,NPL,2,0,0,0,0
1996,NEP,NPL,6,0,0,0,0
2000,NEP,NPL,5,0,0,0,0
2004,NEP,NPL,6,0,0,0,0
